"","Zip.Code","Total.Population","Median.Age","Total.Males","Total.Females","Total.Households","Average.Household.Size","Water_FY.05.06","Water_FY.06.07","Water_FY.07.08","Water_FY.08.09","Water_FY.09.10","Water_FY.10.11","Water_FY.11.12","Water_FY.12.13","Energy_FY.05.06","Energy_FY.06.07","Energy_FY.07.08","Energy_FY.08.09","Energy_FY.09.10","Energy_FY.10.11","Energy_FY.11.12","Energy_FY.12.13"
"112",91403,23484,39.4,11277,12207,11358,2.06,31,35,32,31,26,26,27,20,666,681,696,672,641,629,628,658
"113",91405,51145,32.6,25498,25647,16256,3.11,38,39,37,36,32,31,32,14,432,450,462,446,429,416,423,450
"114",91406,51558,33.6,25956,25602,17042,3.02,53,55,45,43,37,35,35,14,514,530,540,529,510,490,497,530
"115",91411,24628,33.8,12495,12133,9177,2.63,31,33,31,29,27,26,28,15,457,464,477,466,446,432,435,464
"116",91423,30991,39.2,14789,16202,14876,2.07,31,34,32,30,26,26,27,20,636,653,660,655,620,606,604,636
"117",91436,14372,46.5,6890,7482,5552,2.57,39,44,42,39,32,32,34,32,1318,1353,1380,1305,1280,1215,1197,1279
"118",91504,24939,38.6,12006,12933,9180,2.69,39,42,41,39,34,33,34,14,558,574,577,571,554,530,522,565
"119",91505,30778,38.9,15121,15657,13180,2.33,25,26,26,25,20,19,20,13,383,392,420,408,407,398,416,434
"120",91601,37180,32.9,18932,18248,15970,2.32,27,29,27,26,24,24,24,13,403,402,408,412,394,389,395,413
"121",91602,17473,38,8722,8751,9277,1.88,36,40,37,35,31,31,32,21,551,571,582,577,546,536,538,560
"122",91604,29034,40.2,14271,14763,14292,2.01,34,36,34,32,29,29,29,21,699,721,729,708,676,662,663,703
"123",91605,56343,31.9,28417,27926,15357,3.61,29,31,28,27,23,23,24,14,446,466,474,467,455,443,447,480
"124",91606,44958,34.3,22376,22582,14903,3,30,31,29,27,24,23,24,14,428,448,457,452,435,419,428,450
"125",91607,27927,38.2,13635,14292,12859,2.15,32,34,31,29,26,26,27,18,551,719,719,719,719,719,719,719
